seed,batch,n_test,auroc,aupr,brier,log_loss,cal_slope,cal_intercept
12349,P&S 2020 2017,2,1.0,1.0,3.1314697702595935e-08,0.0001425179258548382,1.3618072960333492,0.03657316238035013
12350,P&S 2020 2017,2,1.0,1.0,2.9684868268530354e-10,1.2183601325414584e-05,1.1044672804716638,0.009834822316085134
12351,P&S 2020 2017,2,1.0,1.0,1.6649645081885036e-10,1.2898867494538613e-05,1.0352123740113564,-8.323344264478703e-05
12352,P&S 2020 2017,2,1.0,1.0,5.098252333985026e-07,0.0005051443014940265,1.5499116791449812,0.07976786529753868
12353,P&S 2020 2017,2,1.0,1.0,9.397803573140722e-10,2.167865478717148e-05,1.1198056080522878,0.01192521723632813
12354,P&S 2020 2017,2,1.0,1.0,3.0180416060797184e-07,0.00041601422663302455,1.5061894100051632,0.06879178211082665
12355,P&S 2020 2017,2,1.0,1.0,6.8383823982107604e-09,5.847792320631812e-05,1.1894169225946412,0.02092330186207152
12356,P&S 2020 2017,2,1.0,1.0,8.749755435158407e-06,0.0021163990343787908,1.9358438799125957,-0.17411728009597058
12357,P&S 2020 2017,2,1.0,1.0,7.176970720894216e-05,0.007300303766125485,2.2483575465646064,0.2533897798881887
12358,P&S 2020 2017,2,1.0,1.0,3.1352404630312685e-11,3.96173096016952e-06,1.0,0.0
12359,P&S 2020 2017,2,1.0,1.0,6.767725639187555e-10,1.841651072819471e-05,1.117023474335939,0.011442897158345237
12360,P&S 2020 2017,2,1.0,1.0,6.72119167956172e-10,1.8363220606290326e-05,1.1172167623415021,0.011447829674288748
12361,P&S 2020 2017,2,1.0,1.0,2.2960405901640462e-08,0.00011159798649009734,1.27683595452323,-0.03159275202334143
12362,P&S 2020 2017,2,1.0,1.0,2.439986645313409e-06,0.0012652369325820189,1.711054807108899,-0.10566273590799313
12363,P&S 2020 2017,2,1.0,1.0,1.3489790392053808e-09,3.555987880150235e-05,1.1713415968117782,-0.004890090044443846
12364,P&S 2020 2017,2,1.0,1.0,4.1910247409859734e-10,1.4529503687707626e-05,1.1111213968470086,0.010573715710363188
12365,P&S 2020 2017,2,1.0,1.0,3.250221767019308e-07,0.00046606679783388534,1.5064476591648892,0.06060529414055592
12366,P&S 2020 2017,2,1.0,1.0,4.043621593278935e-10,1.4219741520970864e-05,1.1077713547946693,0.010295678059568405
12367,P&S 2020 2017,2,1.0,1.0,9.539035770263155e-11,6.929009763116415e-06,1.0,0.0
12368,P&S 2020 2017,2,1.0,1.0,8.275471104676789e-09,6.432987071523816e-05,1.2718780262849876,0.03035199035173257
12369,P&S 2020 2017,2,1.0,1.0,6.531221065241909e-09,5.8072910340793466e-05,1.1933621200267348,0.020913488446297722
12370,P&S 2020 2017,2,1.0,1.0,3.069660055868825e-05,0.003933120129521326,2.0463848778334364,0.21672471888594128
12371,P&S 2020 2017,2,1.0,1.0,1.5780137007795637e-05,0.003105271043417356,1.9395695351767963,-0.183830295526439
12372,P&S 2020 2017,2,1.0,1.0,0.0001965307916111956,0.010012531753725998,2.58628758782303,0.40966229257430187
12373,P&S 2020 2017,2,1.0,1.0,8.49438177346241e-11,6.518483655267868e-06,1.0,0.0
12374,P&S 2020 2017,2,1.0,1.0,5.683900069836596e-10,1.6858868419019082e-05,1.1111494689881891,0.010794039138692802
12345,P&S 2023,16,1.0,1.0,1.1134766216485623e-05,0.0008400885776106152,1.8409692529405872,-0.1958819671505249
12346,P&S 2023,16,1.0,1.0,5.36791978554197e-08,7.996270759658655e-05,1.329920432385792,-0.013200627192599765
12347,P&S 2023,16,1.0,1.0,3.082039514825883e-08,5.0213655683555995e-05,1.2120004185816318,0.02806611676938592
12348,P&S 2023,16,1.0,1.0,0.06154776934483529,0.298270386285862,5.217948690775743,-32.02151011992996
12349,P&S 2023,16,1.0,1.0,0.06207250008151985,0.3547964105362863,6.24688174304363,-45.61494341461232
12350,P&S 2023,16,1.0,1.0,1.797158098419514e-05,0.0010797322786298062,1.8829221110356174,0.22048171188984414
12351,P&S 2023,16,1.0,1.0,0.06114332025073385,0.2826967691658593,2.1715598463032983,-17.31883156237809
12352,P&S 2023,16,1.0,1.0,0.008697464355021781,0.029512417442682678,3.743552234687907,5.098767860221267
12353,P&S 2023,16,1.0,1.0,1.5222590011998675e-07,0.00013300223785632566,1.353504455427754,0.05218115754996075
12354,P&S 2023,16,1.0,1.0,0.06146142776861854,0.2991528327876954,3.3887404849015494,-23.42411387476085
12355,P&S 2023,16,1.0,1.0,0.061381853279808114,0.29466026713817955,2.226116379767493,-17.851796006433034
12356,P&S 2023,16,1.0,1.0,0.06244820901815311,0.486025158528699,9.402571511961504,-81.00066762329706
12357,P&S 2023,16,1.0,1.0,4.8891074904051274e-11,2.109841425782382e-06,0.9999999999999999,0.0
12358,P&S 2023,16,1.0,1.0,0.062349314090506536,0.4200238475154969,3.693315247962859,-37.22188155323352
12359,P&S 2023,16,1.0,1.0,3.638346059805102e-12,7.541524869898547e-07,1.0,0.0
12360,P&S 2023,16,1.0,1.0,9.019813535995161e-10,8.725891361882866e-06,1.0,0.0
12361,P&S 2023,16,0.984375,0.9861111111111112,0.0675182395211296,0.2667316740523056,0.431619960683402,-0.5407220491566836
12362,P&S 2023,16,1.0,1.0,0.005238038068337595,0.02143028791685715,3.8326670310995268,3.1879299990055476
12363,P&S 2023,16,1.0,1.0,1.6611462716900658e-05,0.001054052282000472,1.8684722722059355,0.21497109385706453
12364,P&S 2023,16,1.0,1.0,1.0462470113850112e-05,0.0008531600414539896,1.8202732093325003,0.1943224477946635
12365,P&S 2023,16,1.0,1.0,0.003535827046038927,0.01697681615974545,3.798934471676746,2.406432466143601
12366,P&S 2023,16,1.0,1.0,3.6370915627893654e-05,0.0015919184436996997,2.125688864146721,0.31390469591338377
12367,P&S 2023,16,1.0,1.0,0.060769072635352694,0.26745424704014303,2.394024452203491,-19.841189338025924
12368,P&S 2023,16,1.0,1.0,4.0326054623448234e-05,0.0016912846003967986,2.1400094378050514,0.3290449705914396
12369,P&S 2023,16,0.96875,0.9704861111111112,0.08452233895903816,0.27231136386013544,0.5639032524755211,-1.0863967565534427
12370,P&S 2023,16,1.0,1.0,2.6467226473109425e-06,0.00041880096437092994,1.710324448811822,0.14350359493347903
12371,P&S 2023,16,1.0,1.0,0.007291384137592849,0.026224834571142365,3.702270344186885,4.0681415524511335
12372,P&S 2023,16,1.0,1.0,8.497493688897047e-11,3.1334968853554487e-06,1.0,0.0
12373,P&S 2023,16,1.0,1.0,0.002978538552906035,0.015419177890067966,3.72773253545586,2.159651343037068
12374,P&S 2023,16,1.0,1.0,6.1759059674547406e-12,9.006894705985452e-07,1.0,0.0
