Sample,infection,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,Gene,Count,log_CPM
SRX9845538,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,17590,156.67578960794637,2.195001892116287
SRX9845537,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,17590,130.4941022155267,2.1155908838342
SRX9845536,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,17590,153.86509834192697,2.1871401187496016
SRX9845535,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,17590,201.36526865858994,2.3039845658667764
SRX9845533,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,17590,36.64219193074944,1.5639814452074958
SRX9845532,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,17590,81.78854272065941,1.9126924701542487
SRX9845531,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,17590,77.0023338077606,1.8865038880877087
SRX9845530,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,17590,110.9775915190173,2.0452352953443325
SRX9845529,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,17590,80.6680765695022,1.9067017018517256
SRX9845528,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,17590,68.84549455452769,1.8378755240536333
SRX9845527,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,17590,94.43977366914424,1.9751549375939033
SRX9845526,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,17590,98.74534391453682,1.994516626729921
SRX9845525,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,17590,116.58122124260879,2.066628600444295
SRX9845524,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,17590,92.23998994994874,1.9649192469678867
SRX9845522,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,17590,119.0228983343366,2.0756305215907087
SRX9845521,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,17590,87.05744151796154,1.9398058997733845
SRX9845520,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,17590,55.651795713825955,1.7454791822560562
SRX9845519,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,17590,68.5378497228493,1.8359304749384626
SRX9845518,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,17590,130.82497106118683,2.11669064734468
SRX9845517,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,17590,74.29631259170405,1.8709672597792166
SRX9845516,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,17590,113.5708593337876,2.055266911885356
SRX9845515,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,17590,69.8555199497176,1.844200729548041
