gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111118460	4.291647	-0.02953367	0.31896186	0.7987967	0.8838929
LOC111118461	91.28257	-0.006830918	0.10586733	0.9296818	0.9617602
LOC111118462	13.41145	-0.09677608	0.18170787	0.3325253	0.5306116
LOC111118463	328.652	0.05368424	0.10284845	0.4832124	0.6655613
LOC111118464	513.9949	0.353545	0.24230643	0.01245269	0.05495011
LOC111118465	3.359029	-0.1844821	0.54826163	0.2097432	0.3961454
LOC111118466	147.2074	0.1334891	0.10805311	0.09700617	0.2388342
LOC111118467	4.619876	0.05110576	0.37351402	0.6693311	0.8010434
LOC111118468	94.30059	0.09982836	0.15648244	0.2895695	0.4867093
LOC111118469	54.80085	0.08847376	0.13602765	0.3170176	0.5152217
LOC111118470	264.3214	0.1016353	0.13798386	0.2564567	0.4506005
LOC111118471	528.6818	0.0589836	0.09282282	0.4130723	0.6044617
LOC111118472	166.2851	-0.07430161	0.11023677	0.3518318	0.5489917
LOC111118473	78.55328	-0.00493914	0.09849301	0.9471058	0.9709889
LOC111118474	9.470916	0.1401189	0.20014448	0.1928357	0.3746214
LOC111118475	39.19144	0.2096304	0.13721373	0.02682593	0.09645002
LOC111118476	36.32702	-0.4365547	0.16418791	0.0003187551	0.003032442
LOC111118477	126.2199	0.00773397	0.10891783	0.9215313	0.9571528
LOC111118479	402.2434	-0.06399276	0.10535462	0.4103321	0.602248
LOC111118480	139.7402	0.1389636	0.08968337	0.05339256	0.1580271
LOC111118482	78.8961	-0.03123447	0.10411071	0.6844498	0.8111792
LOC111118483	47.19187	-0.1536268	0.12997038	0.0859299	0.2200921
LOC111118484	75.87185	-0.1535691	0.22660058	0.1808683	0.3593979
LOC111118485	422.3936	-0.07656368	0.13074146	0.375959	0.570258
LOC111118486	57.67799	0.007592742	0.11799836	0.925716	0.9595207
LOC111118487	431.7702	-0.2184015	0.13958339	0.02289838	0.08608412
LOC111118488	47.10586	-0.08153763	0.09244387	0.2581764	0.4524743
LOC111118490	69.06525	-0.08403101	0.08876888	0.2314871	0.4222822
LOC111118491	74.70763	0.05280406	0.07529235	0.3946041	0.5875057
LOC111118492	21.19952	-0.08801493	0.1180662	0.2886177	0.4857874
LOC111118493	929.3091	-0.0153603	0.07264766	0.7993352	0.8843049
LOC111118494	88.71552	-0.2900918	0.22078704	0.02336329	0.08732308
LOC111118495	3.430727	-0.8612985	0.5327719	0.002568189	0.0162065
LOC111118496	6.874014	-0.36997	0.4677059	0.0478792	0.146353
LOC111118497	1732	0.02388694	0.05066992	0.5869888	0.7440563
LOC111118498	1075.126	0.6990963	0.60367888	0.008801473	0.04233111
LOC111118500	67.97336	-0.7502041	0.16484928	5.452024e-07	1.355812e-05
LOC111118503	215.2881	0.0686143	0.10602939	0.3794683	0.5734147
LOC111118504	50.46129	0.07399886	0.10088697	0.3302231	0.527911
LOC111118505	493.8857	0.1847634	0.25497956	0.1370736	0.299452
LOC111118506	20.35939	-0.7267824	0.17602466	2.920328e-06	5.770459e-05
LOC111118507	67.99895	0.1469736	0.14161213	0.1137191	0.2650925
LOC111118508	725.1257	0.2048318	0.12837502	0.02462316	0.09067332
LOC111118509	33.60987	0.09604463	0.09037387	0.1778031	0.3554647
LOC111118510	28660.66	0.06481154	0.11404717	0.4234995	0.6136234
LOC111118511	141.968	0.2694662	0.11810025	0.002559374	0.01616192
LOC111118512	9.223189	-0.4307226	0.60955182	0.04130168	0.1318484
LOC111118514	92.20063	-0.1915377	0.08388896	0.006320131	0.03288629
LOC111118516	24.59557	0.02573517	0.29798919	0.8216384	0.8968796
LOC111118519	67.2108	0.1382397	0.13616408	0.1278299	0.2858631
LOC111118520	291.2557	0.3463575	0.17867311	0.003700748	0.02166106
LOC111118521	43.32288	0.1488555	0.18748877	0.1578929	0.3289792
LOC111118525	568.1596	-0.1769207	0.21324314	0.121313	0.276217
LOC111118527	5.749623	-0.09233485	0.27969883	0.4319497	0.6213356
LOC111118529	17.15991	0.01341817	0.28868496	0.9054307	0.947535
LOC111118530	18.19586	-0.1263719	0.36783807	0.332583	0.5306425
LOC111118532	112.7406	-0.1287757	0.11136759	0.1147934	0.2665874
LOC111118535	9.643562	-4.938888	0.63201577	1.949644e-16	4.779734e-14
LOC111118536	9.891499	0.3241276	0.48911546	0.07049348	0.1923497
LOC111118537	32.72775	-1.232751	0.34487164	1.006082e-05	0.0001658031
LOC111118539	1006.409	-0.03751572	0.06325766	0.4849015	0.6669262
LOC111118540	28158.53	0.0615615	0.09417804	0.3974422	0.5901137
LOC111118541	769.111	0.1091556	0.10819034	0.1714347	0.3469648
LOC111118542	148.2537	0.2083496	0.11479601	0.01512736	0.0634786
LOC111118543	126.6799	0.2071827	0.10474099	0.0107425	0.04892312
LOC111118545	20.94412	-0.05105988	0.13190099	0.5523452	0.7193837
LOC111118546	28.40455	-0.2490712	0.21849395	0.04281624	0.1349264
LOC111118547	101.2111	-0.3105313	0.19713692	0.01134263	0.05106027
LOC111118548	150.1584	-0.2813346	0.17612739	0.012798	0.05607176
LOC111118549	1019.672	-0.04933485	0.10967566	0.5330967	0.705399
LOC111118550	47.56169	0.07093277	0.09978184	0.3472609	0.5444043
LOC111118551	105.8311	-0.02241788	0.10192017	0.7678025	0.8653348
LOC111118552	47.74789	-0.03981344	0.07839444	0.5338541	0.7060034
LOC111118553	200.7325	0.09774404	0.14857202	0.2889554	0.4860621
LOC111118554	7.564296	-0.09811725	0.25507034	0.3911192	0.5841695
LOC111118555	23.02461	0.5363558	0.25307352	0.001449491	0.0102463
LOC111118557	44.39472	1.238199	0.31131233	2.316102e-06	4.756337e-05
LOC111118558	371.5281	-0.1601084	0.12935696	0.07373552	0.1983307
LOC111118560	274.8686	0.1277738	0.16694331	0.1954667	0.378117
LOC111118562	76.85012	-0.1748544	0.14715508	0.06911132	0.1899904
LOC111118563	20.85752	0.1750451	0.1889209	0.1051745	0.2520996
LOC111118564	91.05635	-0.07891368	0.13181721	0.3636371	0.5595644
LOC111118566	3.477101	-0.0673869	0.24119507	0.5381813	0.7088444
LOC111118567	167.0043	-0.08720274	0.08300515	0.1934366	0.3753168
LOC111118568	254.0546	0.04486897	0.1440348	0.6127722	0.7626069
LOC111118569	103.6159	0.3597178	0.14702996	0.0007921039	0.006367863
LOC111118570	36.87165	-0.03699841	0.17656102	0.6981187	0.8200467
LOC111118572	81.19565	0.1121606	0.10304541	0.1489042	0.3157115
LOC111118573	48.63204	0.08763067	0.10916662	0.2714455	0.4677399
LOC111118575	22.80042	-0.01361674	0.15101372	0.8790042	0.9314788
LOC111118576	720.8623	-0.07333199	0.15295525	0.4249989	0.6146603
LOC111118577	76.47823	0.06309749	0.10843555	0.4239556	0.6138211
LOC111118578	3.599403	-0.09504182	0.20256747	0.3617586	0.5583486
LOC111118579	248.2838	0.2041043	0.0980864	0.008816126	0.04237951
LOC111118581	397.5973	0.9355662	0.22070077	1.744845e-06	3.729742e-05
LOC111118582	337.5387	-0.7033968	0.1459874	1.54089e-07	4.546035e-06
LOC111118583	12.8861	-0.0105255	0.16354967	0.9089788	0.9496696
LOC111118584	17.47053	-0.1720294	0.27172429	0.1718414	0.3475594
LOC111118585	273.5145	-0.008222746	0.19164864	0.933049	0.9636163
LOC111118586	1045.453	-0.1212744	0.0976758	0.1080581	0.2562299
LOC111118587	637.4586	-0.1153679	0.09366748	0.1158403	0.2680748
LOC111118588	1738.985	0.03371302	0.12557692	0.6876131	0.8135352
LOC111118590	1059.014	0.07013406	0.08833963	0.3152533	0.51325
LOC111118591	27.11519	-0.01708724	0.27781849	0.878667	0.9312954
LOC111118592	6.42315	-0.1050019	0.22430114	0.3374461	0.5351654
LOC111118593	17.27988	-0.1183052	0.34727994	0.3544007	0.5515089
LOC111118594	4.935776	-1.265035	0.38775023	2.555668e-05	0.000365198
LOC111118595	640.9253	0.09380076	0.09131677	0.1909451	0.3723605
LOC111118596	13.8588	-0.6328728	0.24079828	0.0003432751	0.003229117
LOC111118597	63.06734	0.06689103	0.08783527	0.3360696	0.5339299
LOC111118598	45.03501	0.09717863	0.14483339	0.286543	0.4836799
LOC111118599	43.11017	0.2861759	0.30633458	0.05399625	0.1593712
LOC111118600	820.1815	-0.04534933	0.07956056	0.4833706	0.665741
LOC111118601	17.41144	-0.05764137	0.1847167	0.5564175	0.7221568
LOC111118602	68.46016	-0.1801962	0.14780649	0.06243076	0.1765717
LOC111118603	13.35119	-0.04136809	0.2766035	0.7138368	0.830307
LOC111118604	85.18931	-0.08946869	0.11210263	0.2684633	0.4641603
LOC111118606	1648.139	-0.00691398	0.10230554	0.9275458	0.9605011
LOC111118607	26.19074	0.1767037	0.23468328	0.1376922	0.3003059
LOC111118608	44.94392	-0.03736119	0.12373613	0.6542029	0.7913104
LOC111118609	58.43463	-0.1309129	0.12974081	0.1385814	0.3014719
LOC111118610	37.55028	-0.3512573	0.1947704	0.005205659	0.02824371
LOC111118611	985.2927	0.1471692	0.13648915	0.1070686	0.2549216
LOC111118612	31.84944	0.1052345	0.11483771	0.2009856	0.3852154
LOC111118613	16.4913	0.1641096	0.17811738	0.1156893	0.2679359
LOC111118614	85.32996	-1.045253	0.25733808	2.724499e-06	5.445657e-05
LOC111118615	27.83355	0.1222963	0.15881335	0.203962	0.3888753
LOC111118616	78.05812	-0.6373675	0.1490869	1.319725e-06	2.936536e-05
LOC111118617	14.05486	0.1688769	0.25688041	0.1687493	0.3434368
LOC111118618	69.09163	-0.4314959	0.12703113	2.32292e-05	0.0003374508
LOC111118619	19.14784	-0.04824629	0.16987398	0.6093711	0.7600034
LOC111118620	75.42646	0.2969496	0.18130381	0.01051984	0.04817842
LOC111118622	47.96925	0.2206327	0.158146	0.03146878	0.1086194
LOC111118623	13.77934	-0.2307892	0.33788628	0.1124882	0.2634646
LOC111118624	36.74389	0.007821356	0.19293209	0.9364767	0.965605
LOC111118625	90.8432	0.05124995	0.16093028	0.5800945	0.7391389
LOC111118627	68.2782	-0.2439991	0.29384803	0.08120492	0.2118685
LOC111118628	80.2145	-0.8943096	0.23062351	7.146908e-06	0.0001231286
LOC111118629	91.19012	1.64899	0.46225817	5.872959e-06	0.0001043334
LOC111118630	252.7855	0.03540044	0.13706672	0.6832616	0.8105827
LOC111118633	18.51166	0.02934859	0.16751683	0.7529731	0.8563763
LOC111118635	84.36154	-0.1640301	0.10834542	0.04418502	0.1380309
LOC111118640	442.3696	0.3794075	0.16675708	0.001226194	0.008984201
LOC111118641	61.40311	-0.1534613	0.37103031	0.2572401	0.4513309
LOC111118642	37.88906	0.08179228	0.16257717	0.3872235	0.5805419
LOC111118643	94.30944	0.1083271	0.11614515	0.1911405	0.3726365
LOC111118645	129.2922	-0.1104226	0.13437024	0.2143498	0.4014421
LOC111118646	66222.7	-0.03898761	0.09443233	0.5918702	0.7478501
LOC111118647	29053.6	0.05964105	0.09494755	0.4145992	0.6056938
