Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene35539,-1.080083483,4.941257767,0.566188996,0.451777294,0.956091449,uncharacterized protein LOC111113260 isoform X1
gene35541,0.185223144,4.632940354,0.190459822,0.662534187,0.98272805,serine/threonine-protein kinase 17A-like
gene35542,-0.822386935,3.526335248,1.458525807,0.227164826,0.913854136,bifunctional coenzyme A synthase-like
gene35548,0.738350877,2.945541456,0.259401154,0.610531869,0.978656963,multiple epidermal growth factor-like domains protein 10
gene35549,-1.001688542,5.150324835,1.96583742,0.16089039,0.884593411,uncharacterized protein LOC111111113
gene35550,-0.082891206,4.2251539,0.016158826,0.898847504,0.993795637,uncharacterized protein LOC111111801
gene35552,0.068662494,3.744801496,0.011881253,0.913201568,0.993795637,GATOR complex protein MIOS-B-like isoform X3
gene35553,0.446273002,5.752388874,0.404550357,0.52474857,0.967156286,coiled-coil domain-containing protein 89-like isoform X1
gene35554,0.447696126,5.550621923,0.496720651,0.480944595,0.959052081,uncharacterized protein LOC111112653 isoform X1
gene35556,-0.885180305,3.363592231,2.44808801,0.117668118,0.849024345,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase-like"
gene35558,-3.258744326,4.815181485,3.996130728,0.045604843,0.716820758,uncharacterized protein LOC111116144
gene3556,-0.18159303,4.532176718,0.171149394,0.679092318,0.98354685,PHD finger protein 21A-like
gene35562,0.988078394,3.257311802,3.282893701,0.070005399,0.781952427,uncharacterized protein LOC111111374
gene35568,0.145216599,2.625859077,0.031424471,0.859296716,0.993243914,aladin-like isoform X1
gene35575,-1.246330888,2.572285863,1.486602866,0.222744293,0.911328652,uncharacterize lncRNA
gene35583,0.254339601,2.934407266,0.106070946,0.744662431,0.987968907,aladin-like isoform X1
gene35584,-0.310860041,2.50481932,0.148963687,0.699527669,0.984986922,uncharacterized protein LOC111111367 isoform X1
gene35586,0.330034722,4.130749072,0.59973633,0.438678646,0.953854878,pyridoxal phosphate phosphatase PHOSPHO2-like
gene35587,0.060691987,6.831068269,0.037864129,0.845716223,0.992241237,coiled-coil domain-containing protein 173-like
gene35588,-1.069418604,2.458195508,0.991811009,0.319300151,0.932260097,post-GPI attachment to proteins factor 3-like
gene35589,-0.041106764,3.254908901,0.005341403,0.941738556,0.995636635,E3 ubiquitin-protein ligase TRIM56-like
gene3559,-0.397773512,3.982013425,0.654616127,0.418467112,0.949526211,protein lin-9 homolog
gene35591,-0.108588202,3.957812139,0.046715865,0.828879766,0.992241237,uncharacterized protein LOC111114673 isoform X1
gene35595,0.466526656,3.288956665,0.522881048,0.46961529,0.956091449,tripartite motif-containing protein 2-like
gene35596,-0.887896681,3.071337515,0.958123469,0.327660122,0.932260097,uncharacterized protein LOC111110961
gene35597,-1.034058092,4.495550135,2.290669272,0.130153789,0.861712959,probable 28S rRNA (cytosine-C(5))-methyltransferase
gene35598,0.489946417,2.607712051,0.189205238,0.663578916,0.98291572,uncharacterized protein LOC111115876 isoform X1
gene356,-0.018865286,5.230532512,0.001124206,0.973252597,0.998340714,serine/threonine-protein kinase 3-like isoform X1
gene3560,-1.196853192,3.212142937,3.569000082,0.058867749,0.759315585,LOW QUALITY PROTEIN: atrial natriuretic peptide receptor 1-like
gene35600,-0.408009938,2.838797116,0.283923028,0.594141378,0.978656963,polyribonucleotide 5\'-hydroxyl-kinase Clp1-like isoform X1
gene35601,-0.139703266,9.165149735,0.140268273,0.708014459,0.98547842,dnaJ homolog subfamily B member 6-like isoform X1
gene35604,-3.342110596,4.256182544,3.272808006,0.070436963,0.783350818,sperm-associated antigen 6-like isoform X1
gene35605,0.582956667,5.223408736,0.425365969,0.514271602,0.964536301,LOW QUALITY PROTEIN: sperm-associated antigen 6-like
gene35607,-1.470148574,4.256735013,1.666335858,0.196750036,0.900440534,uncharacterized protein LOC111112111
gene35608,-0.070994433,4.999067545,0.019110719,0.890049539,0.993795637,LOW QUALITY PROTEIN: sperm-associated antigen 6-like
gene35615,-0.447290813,3.999599085,0.670141051,0.413002435,0.946502987,sperm-associated antigen 6
gene35616,-0.163348924,3.791876875,0.121978484,0.726898492,0.986220354,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like"
gene35617,4.011003639,4.619485528,33.91199051,5.77E-09,5.03E-05,neural cell adhesion molecule 2-like
gene35619,0.234498421,4.06434324,0.161080992,0.688163217,0.984120103,protein AF-10-like
gene3562,0.560081699,4.054627297,1.243089902,0.264876384,0.92508069,uncharacterized protein LOC111131447 isoform X1
gene35622,1.007447417,3.736134605,3.388532159,0.06565137,0.772092742,calpain-9-like isoform X1
gene35623,1.920992452,3.911843618,2.240683769,0.134421527,0.863321167,uncharacterized protein LOC111114825 isoform X1
gene35624,0.726742551,4.483260301,3.46852102,0.062547211,0.771175114,MOB-like protein phocein isoform X1
gene35625,-0.277143056,10.8690507,0.792005784,0.373494309,0.938627331,60S ribosomal protein L27
gene35629,0.390270287,3.063803856,0.308642659,0.578514301,0.97701797,uncharacterized protein LOC111115599
gene3563,0.247831435,3.602342328,0.174950151,0.675749408,0.98354685,uncharacterized protein LOC111117915
gene35630,0.216017363,5.616807507,0.114595695,0.734971465,0.986958968,melanopsin-like isoform X2
gene35631,0.317607285,3.909103649,0.187824809,0.66473321,0.982944471,uncharacterize lncRNA
gene35632,-0.815053869,5.630343969,4.342236299,0.037178061,0.693689494,uncharacterized protein LOC111112810 isoform X1
gene35644,-0.823851735,6.996181399,8.758674697,0.003081329,0.348171099,BMP and activin membrane-bound inhibitor homolog isoform X1
gene35647,0.80838238,3.716322101,1.61290966,0.204083275,0.904122737,F-box/LRR-repeat protein 4-like
gene3565,0.272362033,3.781072264,0.25778594,0.61164534,0.978656963,collagen alpha-1(XII) chain-like isoform X1
gene35650,0.564368272,3.986438618,0.845229991,0.357905262,0.932260097,peroxisomal bifunctional enzyme-like
gene35651,0.300526223,3.909506595,0.15589578,0.692963633,0.98412449,calpain-9-like isoform X1
gene35652,-0.345785752,4.991613985,0.733660745,0.391699166,0.941104349,dynactin subunit 2-like
gene35653,0.162856695,3.940689795,0.09889585,0.753158702,0.987968907,serine/threonine-protein kinase 16-like
gene35654,1.851746551,3.070179993,4.291903072,0.038294279,0.698969464,uncharacterized protein LOC111113340
gene35656,-2.012503303,3.303354102,3.166029353,0.075185026,0.787597054,uncharacterized protein LOC111113339
gene35659,-0.612590792,3.787715232,1.248175701,0.263901195,0.92508069,ribonuclease P protein subunit p25-like protein
gene35660,0.748959285,2.630612455,0.456757063,0.499143477,0.960259045,RISC-loading complex subunit tarbp2-like
gene35662,-1.263780013,3.38738049,6.782458592,0.0092058,0.474183985,polypeptide N-acetylgalactosaminyltransferase 1-like isoform X1
gene35663,1.206656501,3.777405632,3.83498494,0.050193442,0.733101704,multiple epidermal growth factor-like domains protein 10
gene35664,0.7422686,3.424387132,0.969298795,0.32485512,0.932260097,platelet endothelial aggregation receptor 1-like isoform X1
gene35665,-0.464787893,4.11213299,0.164007775,0.685493143,0.984120103,platelet endothelial aggregation receptor 1-like isoform X2
gene35667,0.054477578,4.53455115,0.019230772,0.889706927,0.993795637,multiple epidermal growth factor-like domains protein 10 isoform X1
gene35669,0.034436314,3.197635925,0.001300937,0.971227737,0.998340714,multiple epidermal growth factor-like domains protein 10
gene3567,0.859278922,5.316214888,6.921292895,0.008517537,0.468925105,LOW QUALITY PROTEIN: TBC1 domain family member 9-like
gene35672,-0.807128923,4.217435195,1.568834617,0.210376336,0.906088646,protein draper-like isoform X1
gene35674,-0.732879475,2.61523197,0.421838613,0.516021035,0.964624606,multiple epidermal growth factor-like domains protein 11
gene35676,-0.973044306,4.214500615,0.652251652,0.419308804,0.949529441,multiple epidermal growth factor-like domains protein 11
gene35677,-0.091806735,3.644255029,0.012408418,0.911304649,0.993795637,uncharacterized protein LOC111113986
gene35678,0.245465192,4.835786128,0.154801723,0.693988253,0.98412449,uncharacterized protein LOC111116136
gene35679,2.397474325,4.132267571,10.20621341,0.001399683,0.259670916,uncharacterized protein LOC111113987
gene35681,-0.238555882,3.901993643,0.252682483,0.61519256,0.978656963,WD repeat-containing protein 74-like
gene35682,1.052121191,4.245611885,3.771763043,0.052124664,0.742042465,multiple epidermal growth factor-like domains protein 6 isoform X1
gene35684,0.699429722,2.586164322,0.40341038,0.52533323,0.967156286,cell death abnormality protein 1-like
gene35685,0.540767172,2.598960237,0.201995958,0.653114567,0.981107713,uncharacterized protein LOC111111290 isoform X1
gene35686,-0.137180555,4.719257503,0.029490482,0.863651427,0.993795637,multiple epidermal growth factor-like domains protein 10 isoform X2
gene35687,-0.305659735,4.537620522,0.101160308,0.750441637,0.987968907,uncharacterized protein LOC111110974
gene3569,1.084641525,3.050130533,1.679349402,0.195010924,0.898420206,"glutaredoxin-2, mitochondrial-like"
gene35690,1.480584368,2.739262124,3.701460804,0.054364852,0.748988209,uncharacterized protein LOC111113988
gene35696,-0.369121352,4.952995723,0.125079015,0.723589868,0.986220354,uncharacterized protein LOC111115747 isoform X1
gene35698,0.611505584,2.702210884,0.47294828,0.49163394,0.959914101,uncharacterized protein LOC111115735
gene35699,0.987017923,4.224225178,0.597624399,0.439485864,0.953854878,uncharacterized protein LOC111115730 isoform X1
gene357,0.407432972,4.139818503,0.542618761,0.461349449,0.956091449,LOW QUALITY PROTEIN: glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
gene3570,-0.640235711,3.555870518,0.836895474,0.360286179,0.932329517,uncharacterized protein LOC111129617 isoform X1
