LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111101695,uncharacterized protein LOC111101695 isoform X1,XP_022289987.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111101759,uncharacterized protein LOC111101759 isoform X1,XP_022290066.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101775,peptidoglycan-recognition protein SC2-like,XP_022290086.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101781,tripartite motif-containing protein 2-like isoform X1,XP_022290092.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101829,uncharacterized protein LOC111101829,XP_022290155.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111102020,ABC transporter G family member 22-like,XP_022290386.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111102281,uncharacterized protein LOC111102281 isoform X3,XP_022290660.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,7d_fed_vs_inj,No,0,
LOC111102339,probable E3 ubiquitin-protein ligase MID2 isoform X1,XP_022290716.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111102361,rho GTPase-activating protein 20-like isoform X4,XP_022290751.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111102397,uncharacterized protein LOC111102397 isoform X1,XP_022290810.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111102435,uncharacterized protein LOC111102435 isoform X1,XP_022290887.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111102541,ubiquitin carboxyl-terminal hydrolase 25-like isoform X2,XP_022291043.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111102582,heat shock 70 kDa protein 12A-like isoform X1,XP_022291092.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111102685,dynein light chain Tctex-type 1,XP_022291240.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111102730,uncharacterized protein LOC111102730 isoform X2,XP_022291299.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111102943,"UPF0160 protein MYG1, mitochondrial-like",XP_022291607.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam84,No,0,,No,0,,Yes,1,7d_fed_vs_inj,No,0,
LOC111102993,uncharacterized protein LOC111102993,XP_022291669.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111103124,ubiquitin carboxyl-terminal hydrolase 16-like,XP_022291871.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111103132,uncharacterized protein LOC111103132,XP_022291881.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111103185,heat shock 70 kDa protein 12A-like,XP_022291963.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111103190,polyphosphoinositide phosphatase-like isoform X2,XP_022291969.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111103370,synaptotagmin-1-like isoform X3,XP_022292299.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,No,0,,Yes,1,susceptible_fam242_36h_28d
LOC111103658,uncharacterized protein LOC111103658 isoform X2,XP_022292780.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111103811,uncharacterized protein LOC111103811 isoform X1,XP_022293014.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111103999,uncharacterized protein LOC111103999,XP_022293394.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104000,uncharacterized protein LOC111104000,XP_022293395.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104061,E3 ubiquitin-protein ligase rnf213-alpha-like isoform X2,XP_022293483.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,7d_fed_vs_inj,No,0,
LOC111104116,uncharacterized protein LOC111104116 isoform X4,XP_022293590.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,2,36h_fed_vs_inj; 7d_fed_vs_inj,No,0,
