gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	source_file
LOC111117039	241.71923874	-1.094699	0.29869929	1.902927e-05	0.001449893	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117039	252.21055407	-1.125406	0.42030532	0.0001205511	0.0121918771	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117741	121.73039259	-1.174669	0.86803598	0.0002675849	0.0193424449	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117741	107.35653647	-1.104093	0.71977563	0.0003811307	0.01260272	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117789	75.27694365	-1.741744	0.51210473	2.241427e-06	0.0003098313	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117789	94.97033022	-1.54786	0.70495381	6.185755e-05	0.0086115636	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117861	9.80376291	-2.767177	1.27357455	3.924515e-07	9.653879e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117861	12.53402989	-2.035871	0.77506531	1.912985e-06	0.0021118719	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117983	49.64461605	-1.18736	0.41268452	8.466436e-05	0.004323955	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117983	43.30421681	-1.087949	0.6236141	0.00049759	0.0272235581	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117984	104.06946847	-1.127204	0.25983834	2.080175e-06	0.0002958819	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111117984	101.7372921	-1.033527	0.41401965	0.0001817397	0.0153442548	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118000	44.10928241	-1.084272	0.4349686	0.0002170361	0.008417689	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118000	39.73615643	-1.125264	0.59611419	0.0003860233	0.0235934533	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118008	18.73423464	-1.052342	0.75598834	0.0006522097	0.0321163451	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118008	19.75926294	-1.460709	0.46211498	1.710648e-05	0.001338963	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
